Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132
-58.500,72,60,0,4,54,0,23,7,30,34,26,12,49,50,4,41,8,24,21,0,94,51,53,20,0,32,3,53,28,100,33,96,69,18,87,27,15,38,9,8,67,0,23,28,49,38,75,8,0,2,37,6,2,0,0,1,21,0,17,71,7,0,24,35,20,0,9,34,10,32,126,56,17,29,40,31,10,3,3,4,85,53,0,0,5,16,14,32,2,57,19,16,8,40,16,13,21,91,0,4,30,51,0,35,8,36,20,0,16,12,21,15,0,11,30,51,0,19,0,5,29,12,6,9,56,0,1,48,2,72,50,2
-57.500,86,68,0,4,35,0,18,16,45,29,26,29,60,31,10,53,8,22,13,0,100,49,82,20,0,26,6,62,20,143,35,69,87,17,33,21,11,65,14,16,43,0,31,30,49,52,55,17,0,3,28,4,5,0,0,2,24,0,25,75,9,0,22,35,22,0,21,39,8,27,130,83,11,26,43,24,5,4,3,1,87,52,0,0,10,20,6,31,0,37,29,19,9,14,14,17,24,78,0,1,35,52,0,17,8,21,37,0,17,7,11,6,0,12,44,90,0,24,1,5,36,12,6,7,59,0,1,59,3,56,39,5
-56.500,84,79,0,5,26,1,20,13,49,35,21,27,70,26,4,44,8,20,8,0,113,46,68,23,0,34,3,50,30,79,41,64,57,20,29,21,7,67,10,17,35,0,29,30,54,32,38,11,0,2,31,6,2,1,0,1,25,0,17,86,12,0,23,29,15,0,27,49,4,36,95,77,8,24,60,22,5,4,4,2,65,48,4,0,8,19,14,56,0,45,30,20,12,0,17,20,15,60,0,4,44,53,0,15,10,17,29,0,23,11,18,11,0,12,46,148,0,8,2,6,40,12,6,11,60,0,1,63,11,48,47,1
-55.500,108,84,0,3,30,3,20,11,40,42,38,18,16,27,5,49,9,12,8,0,90,44,57,98,0,33,3,61,25,51,64,61,53,26,23,26,12,56,13,25,30,0,36,41,57,31,37,11,0,6,31,7,7,17,2,4,11,0,28,65,17,2,26,31,21,0,13,48,6,32,51,32,9,25,70,20,11,5,1,2,47,31,0,0,1,19,5,67,0,25,42,21,21,0,19,28,20,58,0,0,55,55,0,16,16,24,22,0,34,10,11,23,0,13,13,126,0,21,0,9,57,17,8,17,59,0,1,47,20,46,50,3
-54.500,81,77,0,5,21,5,19,14,36,52,30,22,17,24,7,39,41,10,6,0,75,36,52,131,0,42,3,68,28,43,44,70,50,26,24,26,11,72,11,39,17,0,36,52,56,21,15,11,0,27,48,5,5,15,6,2,25,0,30,78,13,1,34,26,25,0,30,60,4,38,47,35,3,25,158,17,5,8,5,3,28,44,0,0,3,11,16,66,0,10,46,26,14,0,15,44,18,53,0,3,77,57,0,12,10,20,25,2,52,16,16,9,0,23,5,82,0,11,0,10,34,17,11,27,56,0,2,38,23,37,59,3
-53.500,80,95,0,4,22,25,16,17,42,46,52,22,21,31,9,44,49,13,9,0,77,38,48,88,0,38,5,86,30,44,46,59,46,39,23,37,14,56,13,33,28,0,37,74,67,29,24,16,0,33,50,5,10,17,7,5,19,0,36,60,19,3,54,22,18,0,16,62,4,49,28,23,6,20,117,14,5,9,4,0,23,29,0,0,3,8,8,77,0,11,56,28,20,0,19,106,21,59,0,1,63,56,0,19,14,21,23,3,57,14,9,11,0,35,21,85,0,14,3,8,26,68,8,35,54,0,0,48,40,38,51,2
-52.500,71,87,7,4,26,39,24,18,34,49,50,21,21,32,6,39,58,9,9,0,72,38,44,60,0,54,3,109,29,50,50,76,58,44,22,31,14,72,23,65,17,3,41,51,61,14,11,24,0,29,51,12,11,20,7,3,22,0,56,69,20,4,62,28,21,0,18,93,2,58,19,19,5,23,110,11,12,11,1,0,21,43,4,0,0,14,18,108,0,13,69,27,29,0,24,62,36,53,0,3,62,74,0,20,17,24,26,13,78,52,16,15,0,25,10,77,3,16,0,13,26,87,10,36,59,0,1,44,43,22,51,6
-51.500,75,78,6,0,27,38,17,23,40,50,56,22,22,32,7,45,38,9,7,0,76,32,42,58,0,50,3,152,39,62,36,72,81,36,30,37,18,85,28,64,18,8,44,37,58,18,18,23,0,32,58,7,29,18,11,6,27,0,52,68,17,2,59,21,19,0,21,120,2,24,22,19,2,21,100,14,6,8,5,0,21,45,2,0,0,9,19,168,0,9,98,20,38,0,22,9,19,79,0,1,59,98,0,19,14,22,33,17,86,67,12,19,0,29,16,79,3,15,2,16,19,132,13,51,35,0,1,41,52,0,54,4
-50.500,76,93,9,0,25,46,22,27,33,47,59,19,32,44,7,44,20,8,7,8,74,31,54,73,0,47,4,89,32,89,41,77,63,39,19,45,19,52,61,49,14,0,51,37,60,23,13,23,0,29,46,8,60,18,18,7,33,0,30,70,2,5,67,24,20,0,11,112,6,13,19,20,2,24,117,17,9,7,5,2,22,44,0,0,0,15,15,69,0,10,116,21,37,0,24,5,13,66,0,3,71,109,0,35,14,24,24,21,47,48,22,17,0,23,14,58,3,14,1,17,22,153,9,53,26,0,2,41,61,0,117,7
-49.500,71,113,15,0,26,68,21,40,44,43,62,59,59,58,11,43,31,7,10,7,57,29,65,57,0,40,2,98,47,117,28,164,46,42,30,45,30,29,99,52,10,9,60,22,62,12,18,15,0,32,57,11,21,19,25,5,51,0,22,85,0,5,93,16,18,0,19,91,7,14,26,20,3,24,120,28,9,3,2,3,21,75,5,0,0,12,17,48,0,8,127,20,28,0,24,0,9,22,0,2,52,139,0,48,20,36,25,24,36,49,16,15,0,32,13,67,6,17,2,52,17,128,16,45,34,4,2,38,96,0,99,5
-48.500,71,113,21,0,33,75,23,52,26,44,61,62,37,86,7,43,29,6,9,4,52,33,76,59,0,59,3,108,48,209,36,143,45,41,38,44,5,26,113,48,13,2,70,29,64,15,10,15,0,18,63,11,13,24,28,11,98,0,16,99,3,3,99,1,25,5,19,78,10,16,22,17,1,25,93,29,9,6,3,0,19,12,3,0,0,18,17,53,0,11,100,16,21,0,25,0,13,14,3,2,52,117,0,113,21,34,30,33,30,48,20,29,0,31,17,51,6,14,1,36,19,107,13,43,34,7,1,37,106,0,108,12
