Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123
-4.500,0,2,0,4,2,0,22,8,26,2,0,28,7,2,0,0,21,0,22,1,27,0,15,11,6,46,2,5,14,6,9,2,0,21,0,4,1,4,2,7,0,9,0,0,6,0,7,0,0,2,0,16,4,15,16,0,0,15,10,0,0,5,9,0,11,13,29,3,3,9,0,9,1,0,0,2,5,0,34,0,10,6,11,5,14,7,3,3,0,1,7,17,12,1,10,3,0,0,0,0,17,6,17,0,5,41,0,4,11,3,6,9,0,6,31,0,21,2,4,0,2,1,18
-3.500,0,4,0,5,0,4,21,6,16,1,0,23,3,1,0,0,16,5,19,1,21,0,17,11,10,52,5,4,12,5,10,3,0,27,0,0,1,7,0,14,0,11,0,0,2,0,12,0,0,3,0,22,3,14,33,0,0,13,7,0,0,1,14,0,13,14,29,2,5,9,0,12,3,0,4,1,1,0,49,0,12,3,12,7,12,12,3,10,0,1,5,11,23,1,10,4,0,0,0,0,4,5,9,0,5,46,0,2,12,6,10,10,0,5,37,0,16,6,1,0,2,0,14
-2.500,0,3,0,3,2,3,35,7,10,1,0,24,3,0,0,0,8,6,24,1,16,0,22,6,8,33,5,5,17,2,9,1,0,37,0,0,2,1,1,5,0,12,0,0,4,0,20,0,0,5,0,13,3,13,17,0,0,14,8,0,0,3,11,42,12,15,29,6,9,17,0,11,3,0,0,1,5,0,39,0,15,8,11,4,10,2,3,2,0,2,6,21,9,1,6,7,0,0,0,0,16,4,11,0,4,22,0,2,16,3,7,11,0,5,31,0,19,5,0,3,3,3,16
-1.500,0,3,0,4,8,0,30,12,3,1,0,27,5,0,0,0,4,7,16,3,21,0,2,10,7,26,4,4,31,4,7,1,0,24,1,3,3,9,1,8,0,13,0,0,6,0,20,0,0,3,0,7,3,12,10,2,0,15,6,0,0,0,8,54,14,10,33,3,3,18,0,11,0,0,2,3,1,0,39,0,21,0,12,5,12,6,4,3,0,2,2,15,7,1,14,3,0,0,0,0,7,8,8,0,7,11,0,3,19,1,9,12,0,1,29,0,12,3,0,0,3,1,19
-0.500,0,1,0,2,1,0,8,10,5,3,0,26,4,0,0,0,0,2,20,0,15,0,0,8,15,29,5,4,23,3,12,4,0,19,1,6,6,0,4,10,0,18,0,0,4,0,23,0,0,4,0,8,1,16,10,1,0,11,4,0,0,4,14,51,11,14,37,1,3,23,0,16,0,0,0,1,2,0,43,0,3,3,13,5,8,4,3,9,0,2,0,22,6,1,8,2,0,0,0,0,11,3,3,0,4,8,0,3,12,8,9,12,0,4,21,0,18,7,0,0,4,1,13
0.500,0,8,0,9,5,4,9,6,5,0,0,29,4,1,17,3,0,0,15,1,21,0,0,11,7,18,3,7,8,1,7,1,0,15,7,0,1,1,6,8,0,18,0,0,2,0,15,0,0,4,0,5,4,12,10,4,0,6,5,0,0,1,11,45,9,13,37,7,6,23,0,12,0,2,0,2,4,0,28,0,10,0,10,5,10,18,4,4,0,1,0,20,6,4,14,3,0,0,0,0,13,4,4,0,7,7,0,4,13,1,6,5,0,6,16,0,16,6,0,3,2,0,13
1.500,0,0,0,8,4,2,3,6,4,1,0,26,4,2,20,2,0,0,17,4,16,0,0,10,12,16,4,1,7,1,9,1,0,16,5,0,1,9,12,9,0,18,0,0,9,0,13,1,0,5,0,4,1,14,2,5,0,4,5,0,0,1,9,16,7,17,47,2,5,22,0,17,4,4,0,3,1,0,28,0,5,2,10,7,9,6,9,4,0,2,0,22,7,0,16,3,0,0,0,0,7,2,3,0,6,8,0,2,22,4,8,8,0,7,25,3,13,6,4,1,6,1,17
2.500,0,2,0,10,7,1,9,9,6,1,0,24,3,1,14,3,0,0,23,2,18,0,0,7,8,9,5,6,4,1,15,3,0,14,12,1,1,0,43,11,0,29,0,0,3,0,8,0,0,4,0,4,5,13,0,1,0,5,2,0,0,3,14,14,6,16,68,6,7,20,0,27,0,3,0,1,1,0,25,0,5,2,20,11,11,6,10,8,0,2,0,16,9,1,18,1,0,0,0,0,11,6,4,0,4,5,0,5,16,5,8,5,0,4,19,0,17,13,0,1,5,3,11
3.500,0,2,0,15,12,2,2,5,5,4,0,9,0,1,8,2,0,0,7,3,16,0,0,8,8,5,5,4,7,0,19,2,0,14,8,3,2,0,45,11,0,49,0,0,5,0,12,1,0,3,0,9,4,16,1,7,0,5,6,0,0,6,13,11,6,17,39,3,8,21,0,25,0,7,0,4,3,0,21,0,9,0,11,18,6,5,10,7,0,4,0,13,6,2,10,1,0,0,0,0,11,4,4,0,8,7,0,2,23,6,9,8,0,2,16,6,18,13,0,2,5,1,13
4.500,0,6,0,14,36,3,10,2,4,0,0,9,0,0,11,4,0,0,6,0,15,0,0,11,11,6,6,7,1,0,12,1,0,14,13,2,2,10,31,16,0,0,0,0,7,0,6,0,0,4,0,4,2,13,3,0,0,8,2,0,0,0,9,6,7,16,34,5,7,22,0,16,0,3,0,3,3,0,24,0,9,2,10,22,8,16,8,2,0,4,0,16,1,1,8,1,0,0,0,0,8,5,5,0,6,4,0,6,31,1,6,9,0,7,31,5,19,25,0,1,10,1,13
