Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136
-22.500,4,48,13,41,11,84,178,12,7,0,14,0,1,6,11,10,18,5,0,6,25,2,0,2,5,5,15,5,33,4,0,6,28,5,19,0,25,0,27,22,0,0,5,0,9,0,3,0,0,0,1,0,0,0,0,4,0,0,1,5,0,1,0,0,0,13,0,0,0,24,0,0,8,0,0,0,8,0,0,0,5,0,5,0,3,45,9,4,7,22,0,15,29,2,0,0,25,36,19,81,53,3,20,11,25,0,21,4,7,33,1,1,45,17,8,51,6,23,13,0,12,19,23,0,0,4,4,70,18,7,23,5,2,0,12,13
-21.500,4,54,3,37,13,75,247,23,8,1,5,0,4,11,14,13,12,7,0,5,29,5,0,4,15,5,10,14,33,1,0,3,28,8,21,0,22,0,32,32,0,0,4,0,17,0,0,0,0,0,2,0,0,0,0,1,0,0,3,4,0,2,0,0,0,14,0,5,0,25,0,0,8,0,0,0,9,0,0,0,8,0,3,0,2,44,10,9,6,23,0,7,12,3,0,0,17,27,13,102,45,2,10,12,18,0,20,2,36,23,0,1,46,36,10,32,9,40,23,0,3,19,23,0,0,6,3,32,20,11,22,2,4,0,10,11
-20.500,5,52,7,27,15,71,67,39,6,2,12,0,1,7,11,7,8,7,0,8,59,2,0,7,0,4,9,9,33,2,0,0,30,6,11,0,13,0,19,28,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,3,0,0,0,12,0,1,0,29,0,0,5,0,0,3,11,0,0,0,3,0,3,0,3,31,10,10,7,17,0,16,20,2,0,0,24,24,14,71,40,4,15,14,20,0,18,0,46,22,0,2,34,34,6,32,2,21,24,0,11,34,26,0,0,6,4,13,22,6,27,4,2,0,17,12
-19.500,4,45,6,20,11,65,37,31,6,5,8,0,3,7,17,11,14,0,0,8,57,4,0,2,9,3,11,7,29,5,0,0,32,7,23,0,13,0,23,39,0,0,4,0,14,0,6,0,0,0,0,0,0,0,0,1,0,0,3,4,0,2,0,0,0,12,0,2,0,26,0,0,5,0,0,0,11,0,0,0,6,0,1,0,12,21,11,30,1,15,0,3,17,0,0,0,14,18,12,60,43,3,16,33,25,0,17,0,47,15,0,0,28,18,7,27,2,14,7,0,0,38,39,0,0,6,3,14,22,13,17,3,7,0,16,9
-18.500,1,64,4,16,10,72,24,48,13,8,0,0,1,11,15,7,9,0,0,8,42,4,0,2,3,3,10,9,25,4,0,0,28,7,9,0,9,0,19,22,0,0,5,0,11,0,0,0,0,0,2,0,0,0,0,2,0,0,1,5,0,3,0,0,0,13,0,2,0,18,0,0,4,0,1,2,16,0,0,0,5,0,0,0,1,6,7,24,4,13,0,6,15,2,0,0,14,20,14,47,37,3,13,23,26,0,17,3,49,18,0,0,27,16,14,29,2,35,5,0,17,28,30,0,0,5,4,22,27,7,19,1,6,28,34,11
-17.500,8,55,3,13,12,69,7,47,8,19,14,0,1,9,10,9,9,8,0,11,43,2,0,6,4,4,7,10,27,2,0,6,26,8,18,0,14,0,14,21,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,0,6,0,0,0,10,0,3,0,12,0,0,4,0,2,0,14,0,0,0,4,0,0,0,3,6,9,17,1,14,0,6,24,1,0,0,14,15,13,39,32,3,14,15,38,0,10,1,45,6,0,0,32,21,3,25,3,18,4,0,2,23,11,0,0,3,2,12,29,10,20,4,4,54,12,7
-16.500,0,53,5,14,12,76,7,71,9,14,6,0,2,6,0,5,10,0,0,11,38,2,0,2,12,3,9,8,26,5,0,2,17,4,8,0,16,0,21,22,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,0,4,0,0,0,11,0,2,0,9,0,0,4,0,2,0,16,0,0,0,2,0,0,0,1,2,16,18,3,16,0,5,34,0,0,0,15,15,13,13,32,3,12,16,27,0,18,0,41,8,0,0,18,9,4,30,4,18,15,0,6,22,15,0,0,4,2,16,26,6,17,4,2,48,8,10
-15.500,7,36,3,14,12,88,3,56,15,9,7,0,2,12,0,6,10,0,10,42,38,3,0,5,4,3,8,10,21,1,0,1,15,0,13,0,12,0,12,25,0,0,6,0,7,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,10,0,1,0,8,0,0,3,0,3,0,13,0,0,0,2,0,0,0,7,1,8,24,1,9,1,1,24,0,0,0,11,16,13,12,30,2,6,11,25,0,15,0,39,9,0,0,26,9,14,21,4,28,1,0,8,16,15,0,0,5,0,16,28,9,18,1,6,125,8,5
-14.500,2,37,3,13,14,72,2,19,13,8,4,0,0,9,0,7,11,0,14,27,43,2,0,4,5,4,7,8,28,3,2,0,9,0,7,0,15,0,21,27,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,12,0,0,0,10,0,3,0,10,0,0,3,0,6,0,17,0,0,0,2,0,0,0,7,0,9,22,3,10,4,3,6,0,0,0,11,18,20,12,29,3,9,10,21,0,8,0,45,10,0,0,24,17,5,15,0,35,0,0,7,16,14,0,0,2,0,12,31,9,16,2,4,67,5,9
-13.500,0,29,1,10,9,74,3,25,12,5,10,0,0,7,0,2,11,4,15,22,46,2,0,1,6,2,6,6,12,7,0,0,17,0,10,0,17,0,16,31,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,0,8,0,0,0,12,0,2,0,6,0,0,2,0,3,0,15,0,0,0,3,0,0,0,10,0,12,16,2,11,5,9,5,0,0,0,13,9,9,9,28,1,7,11,28,0,13,0,50,4,0,0,26,8,1,16,0,41,1,0,4,16,11,0,0,5,0,14,20,7,0,5,3,25,6,3
