Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111
-79.500,81,122,44,53,84,135,42,86,131,194,133,214,139,61,234,106,108,133,56,69,121,127,53,200,118,100,95,103,54,52,52,55,69,115,64,85,113,18,30,55,55,26,29,97,62,18,10,21,18,4,4,8,4,10,11,14,0,17,0,11,0,0,6,2,2,6,0,5,0,0,0,14,2,2,0,0,0,11,6,15,0,1,0,1,0,5,24,1,0,2,1,0,5,1,0,31,33,18,7,10,4,0,2,0,27,0,2,4,3,5,20
-78.500,85,99,52,29,106,108,38,94,149,198,133,201,143,57,209,102,114,77,38,66,146,144,43,272,156,98,136,119,49,60,45,54,72,100,55,92,91,11,29,81,50,28,41,48,39,14,19,23,20,4,3,8,2,9,12,12,0,12,0,11,0,0,12,6,3,4,0,9,0,0,0,30,4,3,2,0,0,13,10,8,0,1,0,5,0,9,19,4,0,6,3,0,5,4,0,25,30,22,14,12,0,0,3,0,19,0,3,4,0,10,23
-77.500,95,95,60,47,59,91,42,125,162,157,120,167,172,69,213,98,134,86,29,69,143,185,50,190,238,102,127,136,62,58,44,50,83,100,70,92,79,15,30,136,41,25,34,46,34,23,12,23,32,3,2,3,3,16,14,13,0,11,0,18,0,1,4,2,1,6,0,8,0,0,0,18,3,2,3,0,0,9,12,15,0,2,0,3,0,10,8,1,0,2,7,0,8,0,0,33,37,21,8,14,0,0,6,0,20,0,6,3,3,8,26
-76.500,98,91,73,37,48,81,38,140,172,96,138,176,160,61,249,73,165,76,38,62,138,236,53,154,270,150,143,183,52,55,50,57,102,79,59,118,76,17,42,156,42,28,47,40,31,20,8,50,32,7,1,6,1,10,8,10,0,16,0,17,0,2,9,5,1,6,0,6,0,0,0,11,4,2,1,0,0,8,23,11,0,0,0,3,0,7,16,1,0,0,3,0,10,4,0,28,24,33,11,12,3,1,3,0,15,0,6,3,0,11,23
-75.500,100,78,73,46,52,71,54,200,194,78,164,220,103,58,263,74,140,67,28,69,139,187,51,141,280,149,112,144,44,67,33,62,104,64,66,125,60,15,89,210,55,27,38,43,30,30,11,54,25,2,2,10,2,11,13,11,0,15,0,20,0,3,7,3,1,5,0,5,0,0,0,10,4,3,2,0,0,10,24,13,0,0,0,4,0,9,6,3,0,5,3,0,12,0,0,31,4,33,17,17,8,2,4,0,11,0,6,3,0,9,30
-74.500,173,66,108,49,45,60,43,159,161,83,102,179,65,53,189,66,79,62,30,71,95,148,38,153,205,156,69,116,50,87,65,73,84,60,91,182,72,13,90,79,47,25,50,45,29,26,21,42,27,6,3,7,7,16,13,8,0,15,0,23,0,3,9,2,3,7,0,7,0,0,0,8,1,3,3,0,0,6,8,12,0,0,0,5,0,14,9,2,0,2,3,0,14,2,8,40,9,18,18,14,2,2,6,0,13,0,4,3,0,25,25
-73.500,229,71,103,51,39,64,40,132,142,82,81,104,55,36,168,52,67,48,21,55,77,161,46,119,150,148,77,114,37,91,48,77,88,54,106,125,93,17,91,103,48,36,57,50,32,37,10,42,29,3,1,6,3,10,13,9,0,18,0,22,0,6,7,6,3,4,0,1,0,0,0,9,13,4,3,0,5,7,8,14,0,1,0,3,0,12,12,3,0,5,6,0,20,0,22,54,4,17,60,17,7,4,4,0,9,0,3,4,0,16,49
-72.500,254,54,74,57,44,49,36,90,151,63,68,74,61,27,162,16,76,59,24,60,70,130,38,92,107,115,72,72,43,67,55,75,85,59,96,128,88,14,102,94,52,30,49,72,19,38,19,38,52,7,1,11,2,16,13,12,0,15,0,29,0,2,8,1,1,8,0,7,0,4,0,6,2,3,0,0,11,12,9,15,0,3,0,6,0,10,3,4,0,3,1,0,35,0,17,77,3,8,91,17,6,32,3,0,9,0,4,4,0,12,36
-71.500,215,37,66,63,27,49,33,64,142,76,46,63,62,28,154,11,52,51,26,63,65,124,45,79,87,109,80,67,40,72,64,88,93,56,96,127,85,17,95,43,54,38,70,74,34,47,38,30,32,5,2,9,2,18,17,9,0,17,0,25,0,5,11,8,1,7,0,1,0,6,0,7,14,5,6,0,12,5,11,13,0,0,0,2,0,18,8,4,0,4,3,0,34,0,22,18,6,13,55,19,16,13,7,0,9,1,4,1,0,14,29
-70.500,43,35,69,66,25,53,35,62,185,59,35,70,63,43,139,12,27,66,18,65,63,134,39,76,70,96,81,48,44,69,80,71,88,80,96,51,102,19,79,34,67,45,81,46,23,65,33,37,34,6,0,8,8,15,14,6,2,25,0,32,0,3,13,1,2,9,0,2,0,8,0,11,5,4,2,0,12,10,10,20,0,0,0,6,0,11,7,3,2,2,3,0,27,0,25,12,6,7,55,17,13,9,8,0,5,4,3,4,0,8,34
-69.500,16,38,57,75,25,51,27,93,178,71,12,87,62,32,106,14,20,58,12,61,38,112,36,81,79,99,81,60,37,46,80,70,92,23,130,43,91,14,87,44,66,46,80,97,23,91,29,33,32,5,1,14,5,21,22,10,8,19,1,38,0,6,16,8,3,21,0,4,0,11,0,8,12,7,6,0,15,10,13,21,0,0,0,4,0,13,4,4,12,4,4,0,16,0,24,12,2,9,17,19,11,21,8,0,5,2,4,4,0,13,30
-68.500,14,34,65,51,24,55,32,82,172,73,13,86,63,48,93,13,15,47,14,85,24,117,25,71,60,107,83,43,47,35,55,76,83,27,89,46,83,19,96,38,65,55,125,109,44,79,43,34,24,7,2,9,8,27,21,7,22,24,5,28,0,5,19,2,4,34,0,2,0,9,0,11,6,6,4,0,11,8,15,33,0,17,0,6,0,9,6,6,16,6,3,0,18,0,24,10,6,5,21,15,14,10,7,0,9,7,4,3,0,12,37
-67.500,15,25,52,44,22,53,24,54,85,31,11,130,63,64,91,13,17,51,12,41,30,125,22,65,67,164,99,40,49,12,68,62,98,24,70,27,106,25,154,42,79,62,155,61,12,88,25,44,34,9,2,8,24,35,22,9,9,26,7,31,0,7,0,8,5,54,0,1,0,14,0,8,13,10,8,0,20,14,13,33,0,12,0,7,0,13,11,6,19,5,3,0,15,0,34,7,5,5,10,15,19,24,6,0,2,8,4,3,0,8,38
